ID,Word,Meaning,Etymology,Derived
114,advance,を進歩させる；を進める；進歩する；進む,ab(〜から) + ante(前) → 前に進む,advancement(進歩) / advanced(進んだ・上級の)
115,spread,を広める；広がる,sprout(芽出る)と同語源 → 一面に広がる,widespread(広範囲にわたる)
116,prepare,を準備する；を調理する；(～のために)準備をする(for),pre(前もって) + pare(整える),preparation(準備) / preparatory(準備の)
117,gain,を獲得する；(を)増す,gain(耕作する・手に入れる)が語源,gainful(儲かる)
118,achieve,を達成する；を成し遂げる,a(〜へ) + chief(頭) → 頂点に達する,achievement(業績・達成)
119,establish,を確立する；を設立する,sta(立つ) → 確固たるものとして立たせる,establishment(設立・施設)
120,supply,を供給する,sub(下から) + ple(満たす) → 不足分を満たす,supplier(供給業者)
121,suppose,と思う；と仮定する,sub(下に) + pose(置く) → 前提として下に置く,supposition(仮定) / supposedly(たぶん)
122,perform, (を)行う；(を)演じる，(を)演奏する,per(完全に) + form(形づくる) → 完成させる,performance(業績・公演) / performer(実演家)
123,prefer,のほうを好む,pre(前に) + fer(運ぶ) → 他より前に持ってくる,preference(好みのもの) / preferable(望ましい)
124,determine,を決定する；を正確に知る,de(完全に) + termin(境界・限界) → 境界を定める,determination(決意) / determined(断固とした)
125,treat,を扱う；を治療する,tract(引く) → 手で扱う・誘導する,treatment(治療・取り扱い)
126,prove,を証明する；判明する，わかる,probus(良い・本物の)が語源,proof(証拠) / approval(承認)
127,apply,を適用［応用］する；申し込む；(～に)適用される(to / in),ad(〜へ) + ply(重ねる) → 当てはめる,application(応用・申請) / applicant(志願者)
128,mention,に言及する；と言う,men(心・思う) → 心に思い浮かべて口に出す,mentionable(言及する価値のある)
129,communicate, (～と)情報交換をする(with)；を伝達する,communis(共通の) → 共有する,communication(意思疎通)
130,contain,を含む；を収容する；(感情など)を抑える,con(共に) + tain(保つ) → 一箇所に保持する,container(容器) / containment(抑制)
131,contact,と連絡を取る；接触する,con(共に) + tact(触れる) → 触れ合うこと,contactless(非接触の)
132,regard,を見なす；を見る；を評価する,re(じっと) + gard(見る) → 注意深く見つめる,regardless(かかわらず) / regarding(〜に関して)
133,respect,を尊敬する；を尊重する,re(再び) + spect(見る) → 何度も振り向いて見る,respectable(ちゃんとした) / respectful(礼儀正しい)
134,search,捜す；を捜索する；を詳しく調べる,circus(円・巡る)が語源 → 周囲を探し回る,searchlight(探照灯)
135,connect,をつなぐ；を関連づける,con(共に) + nect(結ぶ) → 互いに結びつける,connection(接続・関係)
136,decline,減少する；衰退する；を断る,de(下へ) + clin(傾く) → 下に向かって傾く,declination(傾斜・辞退)
137,prevent,を妨げる；を防ぐ,pre(前もって) + vent(行く) → 先回りして防ぐ,prevention(予防) / preventive(予防の)
138,suffer,苦しむ；患う；(苦痛など)を経験する,sub(下で) + fer(耐える・運ぶ) → 重荷に耐える,suffering(苦しみ)
139,survive,を切り抜けて生き残る；より長生きする；生き延びる,sur(超えて) + vive(生きる) → 試練を超えて生きる,survival(生存) / survivor(生存者)
140,publish,を出版する；を公表する,public(公の) + ish(動詞化) → 広く一般に出す,publication(出版・公表) / publisher(出版社)
141,opportunity,機会,ob(〜に向かって) + port(港) → 船が港に入れる良いタイミング,opportunistic(日和見主義の)
142,task, (課せられた)仕事，作業；課題；タスク,tax(税金・課税)と同語源 → 割り当てられた義務,taskmaster(仕事の監督)
143,industry,産業；勤勉,indu(内部) + stru(組み立てる) → 内で地道に組み立てること,industrial(産業の) / industrious(勤勉な)
144,medium, (情報伝達の)媒体；手段,medi(中央) → 中間にある媒介物,media(メディア [複数形])
145,economy,経済(状態)；経済圏；節約,oikos(家) + nomos(管理) → 家計のやりくり,economic(経済の) / economical(節約志向の)
146,policy,政策，方針；(個人の)主義,polis(都市国家)が語源 → 国家の統治方針,policymaker(政策立案者)
147,account,説明；勘定；口座,ad(〜へ) + count(計算する) → 計算して報告する,accountant(会計士) / accountability(説明責任)
148,trade,貿易；商売，取引,tread(歩く・踏む)と同語源 → 決められた道を往復して商う,trader(商人)
149,model,模範；モデル；模型；型,modus(尺度・基準)が語源 → 基準となる型,modeler(模型制作者)
150,figure,数字；姿；人物；図表,fing(形づくる)が語源 → 形づくられた姿・数字,figurehead(象徴的頭領)
151,cell,細胞；独房；電池,cel(隠す・覆う)が語源 → 小さく仕切られた部屋,cellular(細胞の・携帯電話の)
152,image,印象，イメージ；画像；像,im(模倣する)が語源 → 模倣して作られた像,imagery(描写・表象)
153,emotion,感情，情動；感動,ex(外へ) + mot(動く) → 心の外へと動く感情,emotional(感情的な)
154,stress,ストレス；圧力；強調,strict(きつく縛る)が語源 → 締め付ける圧力,stressful(ストレスの多い)
155,decade,10年間,deca(10)が語源,decathlon(十種競技)
156,range,範囲；射程距離；(同類の)組,ring(輪・並び)と同語源 → 列に並んだ範囲,ranger(警備員)
157,character,性格，個性；特徴；登場人物；文字,charax(刻みつける道具)が語源 → 刻まれた特徴・文字,characteristic(特徴的な) / characterize(特徴づける)
158,advantage,利点；優勢；有利,ab(〜から) + ante(前) → 優位に前に出ていること,disadvantage(不利・デメリット)
159,phrase,句；成句；言葉遣い,phraz(語る・表現する)が語源,phrasal(句の)
160,damage,損害，損傷；〔～s〕損害賠償金,damnum(損失)が語源,damaging(有害な)
161,impact,影響；(激しい)衝突；衝撃(力),in(中に) + pact(打ち込む) → しっかり打ち込まれる衝撃,impactful(影響の大きい)
162,method,方法；体系；秩序,meta(追って) + hodos(道) → 筋道に沿って進む方法,methodical(秩序立った)
163,resource,〔通例～s〕資源；〔通例～s〕資金；才覚,re(再び) + source(湧き出る) → 何度も湧き出る源,resourceful(機転が利く)
164,region,地域；領域；部位,reg(支配する・導く)が語源 → 支配される範囲,regional(地域の)
165,medicine,薬；医学,med(治療する・考慮する)が語源,medical(医学の) / medication(薬剤)
166,detail,〔～s〕詳細(な情報)，細部,de(細かく) + tail(切る) → 細かく切り分けた部分,detailed(詳細な)
167,feature,特徴；〔通例～s〕顔つき；特集記事［番組］,fect(作る)が語源 → 作り出された外観・特色,featureless(特徴のない)
168,function,機能；関数,fung(果たす・行う)が語源,functional(機能的な)
169,access,利用，入手；接近(の機会・方法・権利),ad(〜へ) + cess(行く) → 近づいて手に入れること,accessible(アクセスしやすい)
170,item,品目，項目；(同種の中の)～個；(短い)記事,ita(同様に)が語源 → 並べられた個々の項目,itemize(項目ごとに分ける)
171,income,収入；所得,in(中に) + come(入ってくる) → 手元に入るお金,outcome(結果)
172,attitude,態度；考え方，心構え,aptus(適した)が語源 → 身構え・構え方,aptitude(適性)
173,site,用地，場所；跡地；(ウェブ)サイト,sin(置く・残す)が語源 → 置かれた場所,situate(位置づける)
174,aspect, (物事の)側面；観点；様相,ad(〜へ) + spect(見る) → 見た目の一側面,spectacle(壮観)
175,structure,構造；体系；構造物,stru(組み立てる)が語源,structural(構造上の) / instruct(指示する)
176,habit,習慣，癖,habe(保つ・持っている) → 身について離れない習性,habitual(習慣的な) / habitat(生息地)
177,link,関連，つながり；(2地点を結ぶ)交通手段；リンク,link(輪・鎖)が語源 → 鎖の輪のように繋ぐもの,linkage(つながり・連鎖)
178,instance, (具体的な)例，実例；(特定の)場合,in(中に) + sta(立つ) → 目の前に立ち現れた例,instant(即座の) / instantial(事例の)
179,positive,肯定的な；積極的な；確信して；(検査結果が)陽性の,pos(置く) → 確固として置かれた・前向きな,positively(肯定的に)
180,negative,否定的な；消極的な；(検査結果が)陰性の,neg(否定する)が語源,negate(否定する) / negativity(消極性)
181,complex,複雑な；複合(体)の,con(共に) + plex(織り込む) → 複雑に織り合わさった,complexity(複雑さ)
182,current,現在の；現代の；通用している,cur(走る・流れる) → 今流れている,currently(現在は) / currency(通貨)
183,mental,精神の；知能の；頭の中で行う,ment(心・思考)が語源,mentality(精神構造) / mentally(精神的に)
184,specific,特定の；明確な，具体的な；(～に)特有の(to),spec(見る) + fic(作る) → 種を明確に特定した,specifically(具体的には) / specify(指定する)
185,significant,重要な，重大な；意義深い,sign(印) + fic(作る) → 印をつけるほど目立つ・重要な,significance(重要性) / significantly(著しく)
186,essential, (～に)必要不可欠な(to / for)；本質的な,ess(存在する)が語源 → 存在の根幹をなす,essence(本質) / essentially(本質的に)
187,official,公用の；公式の；役所の,opus(仕事) + fic(行う) → 公の職務を行う,officially(公式に) / officer(将校・役員)
188,financial,財政(上)の；財界の,fin(終わり・決済)が語源 → 支払い・決済に関する,finance(財政・資金調達)
189,academic,学問の；大学の,Academos(古代ギリシャのアカデモスのアカデメイア)が語源,academy(学園・協会)
190,aware,気づいて，知って,a(〜の状態で) + ware(注意深い) → 注意を払っている,awareness(意識・認識)
191,worth, (…する)に値する(doing)；の価値がある,wert(回転する・相当する)が語源,worthy(価値がある) / worthwhile(価値のある)
192,potential,潜在的な；可能性を秘めた,pot(能力がある)が語源 → 力・可能性を秘めた,potentiality(潜在能力)
193,active,積極的な；活動的な；効力のある,act(動く・行う)が語源,activity(活動) / activate(起動する)
194,digital,デジタル方式の；デジタル［数字］表示の,digit(指・数字) → 指で数える数字の,digitize(デジタル化する)
195,mobile,可動［移動］式の；流動性のある,mov(動く)が語源 → 動きやすい,mobility(移動性) / mobilize(動員する)
196,novel,斬新な，目新しい,nov(新しい)が語源,novelty(珍しさ) / novelist(小説家)
197,plastic,柔軟な；プラスチックの，ビニールの,plas(形づくる)が語源 → 自由にかたちを変えられる,plasticity(可塑性)
198,chemical,化学の，化学的な,alchemy(錬金術)が語源,chemist(化学者) / chemistry(化学)
199,necessary,必要な,ne(不) + cede(譲る) → 譲ることができない・不可欠な,necessity(必要性) / necessarily(必ずしも)
200,eventually,結局(は),ex(外へ) + vent(来る) → 行き着いた結果として,eventual(最終的な) / event(出来事)
201,identify,を特定する；を(～と)同一視する(with),idem(同じ) + fy(化する) → 同一のものと確かめる,identification(身元確認・特定) / identity(身元・同一性)
202,represent,を表す；を代表する；に相当する,re(再び) + present(前に出す) → 再び目の前に提示する,representative(代表者・代表的な) / representation(表現・代表)
203,indicate,を指し示す；を述べる,in(の中に) + dicate(示す・語る) → 指し示して教える,indication(指示・兆候) / indicator(指標)
204,manage,をなんとか成し遂げる；を管理する,manus(手) → 手で上手に扱う・手なずける,management(管理・経営) / manager(管理者)
205,attend,に出席する；(を)世話する；(～に)対処［対応］する(to),ad(〜へ) + tend(意識を伸ばす) → 意識をそこに向ける,attendance(出席・世話) / attendant(係員)
206,maintain,を維持する；と主張する；を養う,manus(手) + tain(保つ) → 手元にしっかり保ち続ける,maintenance(維持・整備)
207,survey,を調査する；をじろじろ見る；を概観する,sur(上から) + vey(見る) → 見渡して調べる,surveyor(調査員・測量技師)
208,replace,に取って代わる；を取り替える,re(再び) + place(場所) → 別のものを元の場所に置く,replacement(交換・後任)
209,sort,を(～に)分類する(into)；を(～から)えり分ける(from),sors(運命・割り当て) → 種類ごとに分ける,assortment(各種揃い)
210,conduct, (調査・実験など)を実施する；を導く,con(共に) + duct(導く) → 全体をまとめて導き行う,conductor(指揮者・車掌)
211,associate,を結び付けて考える；(～と)交際する(with),ad(〜へ) + socius(仲間) → 仲間として結びつける,association(協会・連想)
212,attempt,を試みる，企てる,ad(〜へ) + tempt(試す・誘惑する) → 手を出してやってみる,attempted(未遂の)
213,promote,を促進する；〔通例受身形で〕昇進する,pro(前方へ) + mote(動かす) → 前へ推し進める,promotion(昇進・促進)
214,earn,を稼ぐ；を得る；をもたらす,arn(収穫する)が語源 → 働いて収穫を得る,earnings(稼ぎ・所得)
215,unite,を団結させる；(を)結合する；団結する,unus(ひとつ) → 一つにまとめる,unity(結束・統一) / union(組合・結合)
216,feed,に食べ物［乳］を与える；に(～を)供給［補給］する(with)；餌を食べる,food(食べ物)と同語源 → 食べ物を与える,feedback(フィードバック)
217,seek,を追い求める；(助けなど)を要請する,sag(察知する・探す)が語源 → 探し求める,seeker(探求者)
218,observe,に気づく；を観察する；を遵守する,ob(前に) + serve(保つ・見守る) → じっくり見守る・決まりを守る,observation(観察) / observance(遵守)
219,reveal,を明らかにする；を見せる,re(反対の) + veil(ベール・ we'll) → ベールを外す,revelation(暴露・新事実)
220,estimate,と推定する；を見積もる；を評価する,aestimare(価値をつける)が語源,estimation(見積もり・評価) / underestimating(低く見積もること)
221,reflect,を反映する；(を)反射する；(を)熟考する,re(後ろへ) + flect(曲げる) → 光や像を跳ね返す・思いを巡らせる,reflection(反射・熟考) / reflective(反射する・思慮深い)
222,attract,を引きつける,ad(〜へ) + tract(引く) → 心や視線をぐっと引き寄せる,attraction(魅力・アトラクション) / attractive(魅力的な)
223,decrease,減少する；を減らす,de(下へ) + cresce(増える) → 増える方向の逆を行く,decreased(減少した)
224,ignore,を無視する,in(知らない) + gnarus(知る) → 知っているのに知らないふりをする,ignorance(無知) / ignorant(無知の)
225,match, (と)合う；に匹敵する；一致する,maka(仲間・適当なもの)が語源 → つり合うもの,matchless(無比の)
226,define,を定義する；を明確にする,de(完全に) + fin(境界) → 境界をはっきり定める,definition(定義) / definite(明確な)
227,adapt,適応する；を(～に)適合させる(to),ad(〜へ) + apt(適した) → ぴったり合わせる,adaptation(適応・改作) / adaptable(適応性がある)
228,contribute,貢献する，一因となる；(を)寄付する；(を)寄稿する,con(共に) + tribute(与える) → みんなで差し出す,contribution(貢献・寄付) / contributor(貢献者)
229,exchange, (を)交換する；両替する,ex(外へ) + change(変える) → 互いのものを出し合って変える,exchangeable(交換可能な)
230,display,を示す；を発揮する；を展示［陳列］する,dis(開く) + plicare(折る) → 折りたたみを広げて見せる,displayer(表示装置)
231,respond,反応する；答える,re(打ち返して) + spond(約束する・誓う) → 問いかけに応じる,response(応答・反応) / responsive(反応が良い)
232,hide,を隠す；隠れる,hide(覆う・皮膚)と同語源 → 覆い隠す,hidden(隠された)
233,doubt,ではないと思う；を疑う,duo(2つ) → 心が2つの間で揺れ動く,doubtful(疑わしい) / doubtless(疑いなく)
234,remove,を取り除く；を解雇する,re(離れて) + move(動かす) → 別の場所へ移動させる,removal(除去・移動)
235,wind, (ねじなど)を巻く；(道などが)曲がりくねる；巻きつく,wind(風・めぐる)と同語源 → グルグル回して巻く,unwind(巻いたものをほどく)
236,assume,を当然のことと思う，と仮定する；(権力など)を手に入れる；(責任など)を引き受ける,ad(〜へ) + sume(取る) → 根拠なしに自分のものとして引き受ける,assumption(仮定・引き受け)
237,relax,くつろぐ；緩む；をくつろがせる；を緩める,re(再び) + lax(緩い) → 張り詰めた糸を緩める,relaxation(くつろぎ・緩和)
238,satisfy,を満足させる；(条件など)を満たす,satis(十分な) + fy(化する) → 十分な状態にする,satisfaction(満足) / satisfactory(満足のいく)
239,desire,を強く望む,de(離れて) + sider(星) → 星を見失い強く買い求める,desirable(望ましい)
240,succeed, (～に)成功する(in)；(～を)継承する(to),sub(下に) + cede(行く) → 後に続いてうまくいく・引き継ぐ,success(成功) / succession(継承) / successful(成功した)
241,concept,概念；考え；(商品・販売の)コンセプト,con(共に) + cept(掴む) → 心の中で一つに掴み取った考え,conception(概念・妊娠) / conceptual(概念の)
242,fashion,流行，ファッション；方法，流儀,fact(作る)が語源 → 作り出されたスタイル・様式,fashionable(流行の)
243,device,装置，機器；方策；デバイス,dis(離れて) + vid(分ける) → 工夫して作り出した道具,devise(考案する)
244,charge,料金；世話；管理；告発,carrus(荷車)が語源 → 荷車に負担を載せる・義務を課す,recharge(再充電する)
245,contrast, (～との)対照(with / to),contra(反対に) + stare(立つ) → 反対側に立たせて比べる,contrasting(対照的な)
246,colleague, (職場の)同僚,con(共に) + leg(選ぶ・同盟) → 同じ職務に選ばれた仲間,collegial(同僚の)
247,pain,苦痛，痛み；苦悩；〔～s〕骨折り,poena(罰・苦しみ)が語源,painful(痛い) / painless(痛みのない)
248,bill,請求書；【英】勘定書；法案,bulla(印章付きの文書)が語源,billboard(看板)
